City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,Beisfjord,68.3751,17.5988,35.65,92,97,0.94,NO,2022-05-16 21:28:34
219,Irpa Irpa,-17.7167,-66.2667,80.6,22,0,2.3,BO,2022-05-16 21:28:35
220,Salalah,17.0151,54.0924,79.36,69,21,1.77,OM,2022-05-16 21:28:35
221,Ballina,-28.8667,153.5667,69.78,90,95,6.69,AU,2022-05-16 21:28:35
222,Leningradskiy,69.3833,178.4167,23.36,91,100,12.12,RU,2022-05-16 21:28:36
223,Nkayi,-4.1841,13.2884,75.92,86,99,0.89,CG,2022-05-16 21:28:36
224,Saposoa,-6.934,-76.7716,82.13,67,80,1.59,PE,2022-05-16 21:28:37
225,Jacareacanga,-6.2222,-57.7528,79.36,94,79,2.04,BR,2022-05-16 21:28:37
226,Francisco Sa,-16.4758,-43.4883,77.14,52,7,6.26,BR,2022-05-16 21:28:37
227,Flin Flon,54.7682,-101.865,51.64,35,40,6.91,CA,2022-05-16 21:28:38
228,Vila Velha,-20.3297,-40.2925,78.75,73,0,4.61,BR,2022-05-16 21:28:38
229,Bilma,18.6853,12.9164,84.34,11,0,6.78,NE,2022-05-16 21:29:39
230,Faya,18.3851,42.4509,66.72,10,0,6.46,SA,2022-05-16 21:29:39
231,Gazli,40.1333,63.45,78.6,21,0,8.59,UZ,2022-05-16 21:29:40
232,Craig,40.5153,-107.5464,78.75,15,0,12.66,US,2022-05-16 21:28:30
233,Port Said,31.2565,32.2841,69.64,71,100,8.32,EG,2022-05-16 21:29:41
234,Srednekolymsk,67.45,153.6833,36.82,95,94,4.03,RU,2022-05-16 21:29:41
235,Ngunguru,-35.6167,174.5,63.81,88,56,8.61,NZ,2022-05-16 21:29:41
236,Mawlaik,23.6333,94.4167,73.49,98,99,0.92,MM,2022-05-16 21:29:42
237,Hofn,64.2539,-15.2082,48.87,82,8,10.67,IS,2022-05-16 21:29:42
238,Deputatskiy,69.3,139.9,19.35,93,100,2.57,RU,2022-05-16 21:29:42
239,Thompson,55.7435,-97.8558,51.96,32,40,8.05,CA,2022-05-16 21:29:43
240,Morro Bay,35.3658,-120.8499,86.4,59,22,10.0,US,2022-05-16 21:29:43
241,Seymchan,62.8833,152.4333,38.7,71,6,3.94,RU,2022-05-16 21:29:44
242,Jieshi,22.8134,115.8257,66.07,85,99,8.5,CN,2022-05-16 21:29:44
243,Morehead,37.2711,-87.1764,79.95,34,40,8.05,US,2022-05-16 21:29:44
244,Ilulissat,69.2167,-51.1,30.22,64,20,6.91,GL,2022-05-16 21:29:45
245,Dunedin,-45.8742,170.5036,54.81,81,100,1.01,NZ,2022-05-16 21:29:45
246,Luis Correia,-2.8792,-41.6669,82.4,83,20,6.91,BR,2022-05-16 21:29:46
247,Bandipur,27.9333,84.4167,68.2,59,33,2.46,NP,2022-05-16 21:29:46
248,Samarai,-10.6167,150.6667,79.27,77,13,2.75,PG,2022-05-16 21:29:46
249,Richards Bay,-28.783,32.0377,65.26,89,0,6.42,ZA,2022-05-16 21:29:47
250,Ravar,31.2656,56.8055,77.58,13,0,3.89,IR,2022-05-16 21:29:47
251,Hettstedt,51.65,11.5,63.46,87,100,2.46,DE,2022-05-16 21:29:48
252,Sibolga,1.7427,98.7792,76.51,83,98,3.98,ID,2022-05-16 21:29:48
253,Aswan,24.0934,32.907,85.3,11,6,17.11,EG,2022-05-16 21:29:48
254,Fairmount,43.0473,-76.2385,59.07,94,100,17.27,US,2022-05-16 21:28:16
255,Suntar,62.1444,117.6319,41.97,83,99,1.23,RU,2022-05-16 21:29:49
256,Kincardine,56.0667,-3.7167,52.56,95,100,3.44,GB,2022-05-16 21:29:50
257,Mahebourg,-20.4081,57.7,73.69,78,75,10.36,MU,2022-05-16 21:29:50
258,Mpika,-11.8343,31.4529,54.75,75,0,6.22,ZM,2022-05-16 21:29:51
259,Saint-Joseph,-21.3667,55.6167,70.18,83,64,12.8,RE,2022-05-16 21:29:51
260,Hastings,50.8552,0.5729,58.98,86,93,7.36,GB,2022-05-16 21:29:51
261,Touros,-5.1989,-35.4608,79.93,83,52,10.25,BR,2022-05-16 21:29:52
262,Meulaboh,4.1363,96.1285,76.59,90,97,4.16,ID,2022-05-16 21:29:52
263,Coihaique,-45.5752,-72.0662,47.01,81,0,3.44,CL,2022-05-16 21:29:53
264,Koslan,63.4564,48.8989,41.4,70,97,8.05,RU,2022-05-16 21:29:53
265,Balkhash,46.844,74.9804,64.98,45,6,1.63,KZ,2022-05-16 21:29:54
266,Voyvozh,62.892,54.9635,38.52,94,90,5.79,RU,2022-05-16 21:29:54
267,Port Lincoln,-34.7333,135.8667,57.33,74,98,5.86,AU,2022-05-16 21:29:54
268,Qaqortoq,60.7167,-46.0333,39.36,68,99,2.57,GL,2022-05-16 21:29:55
269,Upernavik,72.7868,-56.1549,20.3,84,30,10.29,GL,2022-05-16 21:29:55
270,Aguilas,37.4063,-1.5829,72.59,64,13,1.92,ES,2022-05-16 21:27:34
271,Nyurba,63.2842,118.3319,39.67,86,100,2.33,RU,2022-05-16 21:29:56
272,Pringsewu,-5.3582,104.9744,74.73,96,100,3.98,ID,2022-05-16 21:29:56
273,Katsuura,35.1333,140.3,59.22,91,100,9.15,JP,2022-05-16 21:29:57
274,Sambava,-14.2667,50.1667,71.73,82,6,9.01,MG,2022-05-16 21:29:57
275,Tra Vinh,9.9347,106.3453,77.86,91,100,4.45,VN,2022-05-16 21:29:58
276,Jumla,29.2747,82.1838,55.51,61,45,3.53,NP,2022-05-16 21:29:58
277,Inhambane,-23.865,35.3833,70.16,81,26,8.81,MZ,2022-05-16 21:30:59
278,Alpena,45.0617,-83.4327,59.32,55,100,18.41,US,2022-05-16 21:30:59
279,Upata,8.0086,-62.3989,80.19,84,100,6.38,VE,2022-05-16 21:30:59
280,Vikindu,-7.0067,39.2985,71.69,87,4,6.44,TZ,2022-05-16 21:31:00
281,Khromtau,50.2503,58.4347,50.22,79,61,9.08,KZ,2022-05-16 21:31:01
282,Souillac,-20.5167,57.5167,73.78,78,75,10.36,MU,2022-05-16 21:28:26
283,Port Hardy,50.6996,-127.4199,53.78,54,75,11.5,CA,2022-05-16 21:31:02
284,Juneau,58.3019,-134.4197,44.6,92,100,23.02,US,2022-05-16 21:31:02
285,Lake Havasu City,34.4839,-114.3224,105.06,7,0,5.75,US,2022-05-16 21:31:03
286,Broken Hill,-31.95,141.4333,51.31,71,0,3.98,AU,2022-05-16 21:31:03
287,Torbay,47.6666,-52.7314,45.75,76,75,11.5,CA,2022-05-16 21:31:04
288,Great Yarmouth,52.6083,1.7305,62.85,89,99,10.76,GB,2022-05-16 21:31:04
289,Lompoc,34.6391,-120.4579,71.74,68,0,35.99,US,2022-05-16 21:31:05
290,Ixtapa,20.7,-105.2,79.83,74,100,10.36,MX,2022-05-16 21:31:05
291,Mazagao,-0.115,-51.2894,86.05,91,97,4.76,BR,2022-05-16 21:31:06
292,Haines Junction,60.7522,-137.5108,40.95,87,100,1.14,CA,2022-05-16 21:31:06
293,Fortuna,40.5982,-124.1573,60.1,79,100,11.5,US,2022-05-16 21:31:06
294,Narsaq,60.9167,-46.05,55.62,64,100,1.61,GL,2022-05-16 21:31:07
