City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Naranjito,EC,83.88,overcast clouds,-2.2167,-79.4833,canton marcelino maridueña
577,Thomaston,US,87.58,scattered clouds,32.8882,-84.3266,Days Inn by Wyndham Thomaston
580,Biltine,TD,87.33,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
581,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
587,Seminole,US,89.42,scattered clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
592,Progreso,MX,88.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
594,Ardakan,IR,79.0,clear sky,32.31,54.0175,Ardakan Hotel
604,Woodward,US,86.97,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
608,Caraballeda,VE,84.87,broken clouds,10.6112,-66.8522,Hotel 15 Letras
609,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
617,Apango,MX,89.2,few clouds,17.7333,-99.3333,Agua Inmaculada Apango
623,Isangel,VU,79.16,broken clouds,-19.55,169.2667,Tanna Lodge
630,Bubaque,GW,79.66,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
631,Kimbe,PG,83.66,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
632,Ormara,PK,82.56,clear sky,25.2088,64.6357,Kenara Colony house for Rent
633,Loreto,MX,85.05,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
635,Hervey Bay,AU,75.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
639,Rancho Palos Verdes,US,77.97,clear sky,33.7445,-118.387,Terranea Resort
642,Iracoubo,GF,78.19,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
643,Moa,CU,80.38,overcast clouds,20.6569,-74.9403,Carmen
648,Waingapu,ID,78.96,clear sky,-9.6567,120.2641,Pondok Wisata Elim
656,Simplicio Mendes,BR,84.04,overcast clouds,-7.8539,-41.9103,Fidalgo
659,Anloga,GH,82.09,broken clouds,5.7947,0.8973,Pin Drop Hotel
672,Teknaf,BD,81.25,broken clouds,20.8624,92.3058,Forestry Guesthouse
675,Eyl,SO,81.64,broken clouds,7.9803,49.8164,Amiin Hotel
677,Cocobeach,GA,79.75,light rain,1.0002,9.5823,Hotel Esperance
688,Lazaro Cardenas,MX,85.73,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
690,Biak,ID,78.17,overcast clouds,-0.9131,122.8766,Penginapan Kim
695,Axim,GH,80.13,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
696,Bassila,BJ,78.21,scattered clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
698,Arawa,PG,84.09,overcast clouds,-6.2132,155.5367,Coastline Guest House
